quality_setting,psnr_hvs_m,fsim,psnr,compression_ratio,source_file
11,43.75942037172953,0.9857074666226976,43.34322060446085,26.864521418323427,NORMAL2-IM-0052-0001.raw_metrics_results_adct.csv
8,46.629867647928265,0.9919006161038496,44.67743999334347,19.62743336328242,NORMAL2-IM-0052-0001.raw_metrics_results_adct.csv
9,45.56108019162149,0.9899057440720638,44.16451122824024,22.10134052778012,NORMAL2-IM-0052-0001.raw_metrics_results_adct.csv
6,49.23141613150232,0.995639412771302,45.90387183376328,14.585433706114728,NORMAL2-IM-0052-0001.raw_metrics_results_adct.csv
12,43.0242729081301,0.983292414784322,42.97874924592846,29.23430355748857,NORMAL2-IM-0052-0001.raw_metrics_results_adct.csv
17,40.035552468551295,0.9689257532579386,41.432878310541184,41.795918367346935,NORMAL2-IM-0052-0001.raw_metrics_results_adct.csv
15,41.082897242176905,0.9746709931768132,42.00507643540027,36.586741102582,NORMAL2-IM-0052-0001.raw_metrics_results_adct.csv
16,40.537036093601856,0.9719321933265284,41.71466973566019,39.07348338053361,NORMAL2-IM-0052-0001.raw_metrics_results_adct.csv
14,41.630906785570936,0.9776948536515696,42.27377175094485,34.24480731548008,NORMAL2-IM-0052-0001.raw_metrics_results_adct.csv
13,42.247134365864206,0.9801825420890088,42.60115283569863,31.81745357446292,NORMAL2-IM-0052-0001.raw_metrics_results_adct.csv
21,38.40694036869881,0.9576151845201772,40.5108354262633,51.88915281076801,NORMAL2-IM-0052-0001.raw_metrics_results_adct.csv
19,39.17455628392445,0.963484227810821,40.948683334731584,46.84488920657613,NORMAL2-IM-0052-0001.raw_metrics_results_adct.csv
22,38.04167719894923,0.9560058870208566,40.301161003517166,54.65888240200167,NORMAL2-IM-0052-0001.raw_metrics_results_adct.csv
20,38.79075499548148,0.9606566006176616,40.72216732738228,49.54526554526554,NORMAL2-IM-0052-0001.raw_metrics_results_adct.csv
23,37.70016139707994,0.953697303305229,40.1036048825123,57.437335670464506,NORMAL2-IM-0052-0001.raw_metrics_results_adct.csv
18,39.64796804863877,0.967091861256938,41.21761745055622,44.12455815519273,NORMAL2-IM-0052-0001.raw_metrics_results_adct.csv
26,36.86219165778985,0.9482758223372504,39.60131364384693,65.25865073437889,NORMAL2-IM-0052-0001.raw_metrics_results_adct.csv
25,37.16120341156014,0.9512958693813846,39.7844419869824,62.474737845567205,NORMAL2-IM-0052-0001.raw_metrics_results_adct.csv
29,36.12642863822074,0.9443448364137208,39.14502567089052,73.16327100195367,NORMAL2-IM-0052-0001.raw_metrics_results_adct.csv
24,37.43241053428301,0.952284368451619,39.94181863804687,60.014652014652015,NORMAL2-IM-0052-0001.raw_metrics_results_adct.csv
27,36.64285372276736,0.947353671621504,39.46449510348725,67.61516636574672,NORMAL2-IM-0052-0001.raw_metrics_results_adct.csv
28,36.38071579186247,0.9460933616284674,39.310261031192,70.27989276139411,NORMAL2-IM-0052-0001.raw_metrics_results_adct.csv
32,35.48519173601446,0.93868303818916,38.73550406467256,81.588546529723,NORMAL2-IM-0052-0001.raw_metrics_results_adct.csv
34,35.11596001397976,0.9352187078829148,38.48880138562515,86.54473423572136,NORMAL2-IM-0052-0001.raw_metrics_results_adct.csv
31,35.699710212641314,0.9401731517449102,38.87547854088246,78.81659651232712,NORMAL2-IM-0052-0001.raw_metrics_results_adct.csv
33,35.308232157696594,0.9365213388474608,38.620111401606295,84.02051282051282,NORMAL2-IM-0052-0001.raw_metrics_results_adct.csv
35,34.90607144195059,0.9320124636497136,38.35551418083398,89.34696659850034,NORMAL2-IM-0052-0001.raw_metrics_results_adct.csv
30,35.93624211543837,0.9419354336201998,39.02345487953316,75.89577301679212,NORMAL2-IM-0052-0001.raw_metrics_results_adct.csv
41,33.89099573313921,0.9247968588984582,37.670998857751485,106.43280552172148,NORMAL2-IM-0052-0001.raw_metrics_results_adct.csv
36,34.748801394658166,0.9309326162350516,38.2581220726276,91.75498774938748,NORMAL2-IM-0052-0001.raw_metrics_results_adct.csv
37,34.516215563385884,0.9297057105563956,38.103673879785255,95.08306129851287,NORMAL2-IM-0052-0001.raw_metrics_results_adct.csv
38,34.3361393974462,0.928670488634587,37.97654700586462,98.4024024024024,NORMAL2-IM-0052-0001.raw_metrics_results_adct.csv
40,34.01471368892593,0.9255766807388692,37.75560033816372,104.10802223987292,NORMAL2-IM-0052-0001.raw_metrics_results_adct.csv
39,34.17104228164444,0.9263938408051492,37.86232658136389,101.33127174333204,NORMAL2-IM-0052-0001.raw_metrics_results_adct.csv
42,33.737789816066766,0.9231166775443934,37.55996302982814,109.63780844834795,NORMAL2-IM-0052-0001.raw_metrics_results_adct.csv
