,quality_setting,psnr_hvs_m,fsim,psnr,compression_ratio,source_file
214,34,33.97075056983575,0.9878892799090953,35.19412170011198,27.62900505902192,p32-512.raw_metrics_results_adct.csv
215,39,32.66310004933921,0.9836191222302952,34.40120863691705,31.60265220012056,p32-512.raw_metrics_results_adct.csv
216,36,33.420599131701174,0.9865616811741068,34.87397027164966,29.1044742977684,p32-512.raw_metrics_results_adct.csv
217,40,32.43664140209472,0.983074601432254,34.26538629338361,32.37544769667778,p32-512.raw_metrics_results_adct.csv
218,41,32.203356048226155,0.9825461353399078,34.11380257593841,33.195390654678995,p32-512.raw_metrics_results_adct.csv
219,37,33.15988010194329,0.9858136356950876,34.71459661389289,29.8978102189781,p32-512.raw_metrics_results_adct.csv
220,38,32.906750915905974,0.9848108665129948,34.54754925881703,30.771686817701607,p32-512.raw_metrics_results_adct.csv
221,42,31.97387832783528,0.9816031252397318,33.96452955002614,34.1244467586566,p32-512.raw_metrics_results_adct.csv
222,11,46.34590809422493,0.998655765710346,41.92479121187526,9.68321513002364,p57-512.raw_metrics_results_adct.csv
223,8,50.202571171267365,0.999182618359582,44.117915171993815,7.761020812979246,p57-512.raw_metrics_results_adct.csv
224,9,48.79752948317592,0.9990205387678556,43.29451977457357,8.40258990960959,p57-512.raw_metrics_results_adct.csv
225,6,53.58108405253884,0.9994477173374636,46.03668933230904,6.484860478923411,p57-512.raw_metrics_results_adct.csv
226,7,51.75358600677029,0.9993174699927184,45.01380002459139,7.128708563348109,p57-512.raw_metrics_results_adct.csv
227,10,47.45772989784968,0.9988542136932532,42.57637618490708,9.060380879964056,p57-512.raw_metrics_results_adct.csv
228,17,41.23804288402902,0.9970635642072582,39.05840346716203,13.45915695435642,p57-512.raw_metrics_results_adct.csv
229,15,42.75403333470021,0.9976793927882214,39.88386473490734,12.205801555152023,p57-512.raw_metrics_results_adct.csv
230,16,41.95044505462721,0.9973882509925744,39.451833500269785,12.836352952698071,p57-512.raw_metrics_results_adct.csv
231,14,43.51270287903312,0.9979250871073176,40.31803420389955,11.58954860957602,p57-512.raw_metrics_results_adct.csv
232,13,44.35111219817206,0.9981818352695778,40.815592706209145,10.94958439497097,p57-512.raw_metrics_results_adct.csv
233,12,45.3228358895847,0.9984172858850636,41.33170735229925,10.319004881121083,p57-512.raw_metrics_results_adct.csv
234,19,39.96795124580677,0.9962945160120604,38.332930561432434,14.7495639453103,p57-512.raw_metrics_results_adct.csv
235,23,37.82217396048738,0.9944050888126718,37.11258605443354,17.376640593928144,p57-512.raw_metrics_results_adct.csv
236,18,40.57993387380208,0.9967336289450616,38.69053558587382,14.083163210486733,p57-512.raw_metrics_results_adct.csv
237,22,38.34291522146434,0.9950142863222454,37.39528327708077,16.71623517408494,p57-512.raw_metrics_results_adct.csv
238,21,38.8446427184051,0.9954508597450908,37.70107349824124,16.045048353531644,p57-512.raw_metrics_results_adct.csv
239,20,39.41405933621744,0.9958536415506454,38.00277268781532,15.412982126058326,p57-512.raw_metrics_results_adct.csv
240,29,35.44613521346897,0.990917597614384,35.69600812589564,21.434505314799672,p57-512.raw_metrics_results_adct.csv
241,25,36.939083439992864,0.9933927322666222,36.58238626174515,18.732599685579533,p57-512.raw_metrics_results_adct.csv
242,27,36.15135231774817,0.9920489501578984,36.11844518816472,20.07228177641654,p57-512.raw_metrics_results_adct.csv
243,24,37.35212692908269,0.9938724266019476,36.83117975080334,18.076403254723488,p57-512.raw_metrics_results_adct.csv
244,26,36.534083767008894,0.9928160903225032,36.34999439080879,19.38791509503735,p57-512.raw_metrics_results_adct.csv
245,28,35.79421723903374,0.9916151498965816,35.9060718551435,20.77046192853181,p57-512.raw_metrics_results_adct.csv
246,32,34.49553039298575,0.9885077830525374,35.11793238354513,23.470677768824423,p57-512.raw_metrics_results_adct.csv
247,34,33.92082477000863,0.9873443574051718,34.76472450002409,24.77263277263277,p57-512.raw_metrics_results_adct.csv
248,30,35.108864254259665,0.9902842153940212,35.48294196426027,22.148022980736734,p57-512.raw_metrics_results_adct.csv
249,31,34.76889695658865,0.9894564517121486,35.28481407536176,22.82092800557152,p57-512.raw_metrics_results_adct.csv
250,35,33.65837831454172,0.9867418378237588,34.60339267690947,25.42125678820792,p57-512.raw_metrics_results_adct.csv
251,33,34.21720538135412,0.987953359666506,34.935369776906064,24.11406494342747,p57-512.raw_metrics_results_adct.csv
252,39,32.6125020283434,0.9834394238272328,33.95812309185394,28.12100407637846,p57-512.raw_metrics_results_adct.csv
253,37,33.09632214253911,0.9849802578890342,34.25212160594285,26.790393459376595,p57-512.raw_metrics_results_adct.csv
254,38,32.862586731505736,0.9839461444215404,34.10599233952104,27.42952809459036,p57-512.raw_metrics_results_adct.csv
255,40,32.36826661564617,0.982645300669488,33.80868212738467,28.813365574851616,p57-512.raw_metrics_results_adct.csv
256,41,32.15510945292774,0.981901230235418,33.68081994684654,29.451072913155823,p57-512.raw_metrics_results_adct.csv
257,36,33.37823773764891,0.9856530684884298,34.416998117565726,26.11516238294481,p57-512.raw_metrics_results_adct.csv
258,42,31.94831039727266,0.9813277027907802,33.54259650447145,30.11764705882353,p57-512.raw_metrics_results_adct.csv
